Cond1,Cond2,jaccard_distance,Shared,NotShared_cond1,NotShared_cond2,Total_Genes_Cond1,Total_Genes_Cond2,Genes_Names,Percentage_Shared_Cond1,Percentage_Shared_Cond2,pvalue,-log(p)
"BNT-I (D10, mild)",I-BNT-I (D2),0,2,4446,3,4448,10,"EREG, COL5A3",0.04,20,6.808810376617468e-10,9.166928760627856
"BNT-I (D10, mild)",I-BNT-I (D5),0,0,4448,1,4448,2,,0,0,2.247696111485731e-4,3.648262405748044
"BNT-I (D10, mild)",I-I (D1),0.007,29,4419,10,4448,39,"COL19A1, FCRLA, TCL1A, ABCB4, FCRL1, LINC00926, CD22, LINC00494, SCN3A, SNX22, KCNH8, VPREB3, CNTNAP2, PAX5, FCER2, CD79A, MS4A1, BANK1, BLK, TNFRSF13C, ZNF860, MACROD2, OSBPL10, COBLL1, SYNPO, CD19, EBF1, PCDH9, FCRL2",0.65,74.36,7.516793046519551e-22,21.123967406650518
"BNT-I (D10, mild)",I-I (D2),0,0,4448,1,4448,1,,0,0,2.247696111485731e-4,3.648262405748044
"BNT-I (D10, mild)",I-I (D3),0,0,4448,3,4448,3,,0,0,6.80881037661747e-11,10.166928760627856
"BNT-I (D10, mild)",I-I (D5),0,1,4447,13,4448,14,GSTM1,0.02,7.14,3.2017700254189903e-37,36.494609865508025
"BNT-I (D10, mild)","ZF2001 (V3, D07)",0.034,229,4219,2205,4448,2434,"ANK2, KIAA1217, GCM1, CLUHP3, CYP3A5, CACNA1E, CDKN1A, EREG, ARL10, CHIT1, ITGB8, PAPPA2, SYN2, FGF13, BCL6, RPAP2, ANKEF1, EPCAM, UBALD2, TUB, CCNA1, CERKL, FHOD3, ZNF19, ITGA10, MORC4, SPINK8, WFDC1, UGT2B11, DDIT3, CPXM2, CR1L, PROX2, ARL4A, GALNT14, EYS, GOLGA8R, SDC4, NFIL3, ALOX15, PDP2, P4HA2, GPR183, ALPK1, GPR84, CYP26B1, NR2E1, TBC1D30, CDON, SIGLEC8, TBC1D32, BIRC5, BBS5, FASLG, N6AMT1, FFAR3, CMSS1, CHAD, FAP, BEAN1, TRPV3, CLP1, MARCKS, GOLGA6C, EFCAB12, CA8, ZNF471, ADGRA3, SAMD12, CCDC30, ANKRD45, ERG, GLDN, PAX6, CYP26A1, GSG1L, KLF10, TMEM182, FSIP2, CXCL3, PTGR1, MCL1, BCL2A1, MKRN2OS, ZNF470, ADAMTS4, OMG, RELB, GPRC5C, CTAGE7P, SMAD7, TARM1, KCNE2, PTPN14, KCNE1, CACNG8, OLFM4, ST8SIA5, KLF5, C21orf140, CCL4, CORO6, ZNF585B, IFIH1, MYLK3, RUNDC3A, GSTO2, CACNG6, RAB20, CEBPB, IL1RN, ARHGAP29, TNK1, PPP2CA, SLC9A4, SPATA6L, TSC22D3, EFR3B, AHR, RCVRN, TMEM45A, RRAD, NMNAT2, ASTN2, DEPDC7, KCNMA1, TSTD3, ADM, GARNL3, RASGEF1B, TRPM6, TMEM139, HECW2, ZNF347, IRS2, FTH1, MACC1, NFKBIA, IFT81, FUT4, PDE6C, TNFAIP6, FAM111B, DISP2, TRIB1, BCL3, RBFOX2, E2F8, CGN, ABHD12B, PLEKHA4, ELOVL3, CSRP2, ATP8A2, TAS2R4, C4orf36, GLIPR1L2, SLC24A5, KCNJ15, GPR143, NOCT, NPHP1, TCF7L1, SPATA2, MCF2L2, KLHDC8A, GAN, COQ10B, ACSS3, PIPSL, CBS, EAF1, BSN, ZNF704, PTGER3, SIAH3, CDC25A, DUSP2, AJAP1, FZD4, CA4, POU4F1, FASTKD5, XKR9, KCNK10, FAT2, HHLA2, NRM, VIT, CLSPN, CACNB4, STAB2, FBXO15, PTH2R, MYBPC1, CP, RPS6KA6, CLVS1, LIFR, RNF19B, CD177, SYBU, SPNS2, FER1L6, DDHD1, IGDCC4, HYDIN, ATP2A1, ALPK3, ENAM, PELI1, CMYA5, TEAD2, GJA3, CRB1, RPA4, MAFB, RIPK2, RBMS3, SLC1A1, SRGN, LGSN, NLRP3, KLHL13, DENND5A, TSPAN6, LVRN, PIM3, CX3CR1",5.15,9.41,0,Inf
"BNT-I (D10, mild)","ZF2001 (V3, D14)",0.005,25,4423,237,4448,262,"KIF5C, GPR75, AGK, A2M, TCTN3, PZP, ARL4A, KLF4, ZBED2, ADGB, DNAH17, MARCKS, KLF5, GSTO2, TBK1, IL1RN, RRAD, ADM, HSP90AB4P, NFKBIA, TRIB1, KLF6, ERVH48-1, CRYBA1, GPR82",0.56,9.54,0,Inf
"BNT-I (D10, mild)","ZF2001 (V3, D28)",0.001,5,4443,33,4448,38,"ARL4A, KLF5, RRAD, NFKBIA, KLF6",0.11,13.16,1.567702051357864e-78,77.80473647337777
"BNT-I (D10, severe)","BBIBP (V3, D14)",0.002,10,34,4625,44,4635,"SEMA3B, PYGM, PDE4C, PPP1R1A, NDUFAF1, FITM1, ALOX15, BNIPL, ASTL, TSNAX-DISC1",22.73,0.22,1.4572436198939789e-77,76.83646783743305
"BNT-I (D10, severe)","BBIBP (V3, D28)",0.001,4,12,4631,16,4635,"CXCL8, KCNA3, TSNAX-DISC1, HSP90AB4P",25,0.09,8.719860475885948e-33,32.059490464039634
"BNT-I (D10, severe)","BNT (V1, D6)",0,1,2,4634,9,4635,IFI27,11.11,0.02,2.7910699901734086e-7,6.554229272803744
"BNT-I (D10, severe)","BNT (V2, D1)",0.035,175,364,4460,694,4635,"IFIT1, IFIT3, OAS2, LRP1B, SNORD89, SNORD9, FAS, GSDMC, DNAAF1, MT2A, ZBP1, LACTB, SORT1, TIMM10, BATF2, CMPK2, MX1, ZCCHC2, SPATS2L, IL27, AGRN, IL36A, HELZ2, AIM2, HERC6, HES4, EDNRB, PSTPIP2, STAT1, STAT2, TNFAIP6, ANKRD22, NRIR, METTL7B, CTSL, LINC01556, DDX60, STX11, CXCL10, CXCL11, APOBEC3B-AS1, GBP2, APOL1, APOL2, APOL6, IFITM3, EPSTI1, TAP1, KCNJ2, MLKL, RSPH9, DDX60L, CFB, RTP4, RBFOX3, ATF3, IFI16, IFI27, TCN2, IFI35, IFI44, IFI44L, SERPING1, IFI6, IFIH1, IFIT2, KLF5, BISPR, IFIT5, SAMD9L, DHX58, ODF3B, TRIM21, OTOF, EIF2AK2, TRIM6, DOCK4, MUC1, RIPK2, FCGR1A, LGALS3BP, PARP9, CCRL2, C2, SFRP1, GBP6, PDCD1LG2, EFCAB2, CD274, NCKAP5, CACNA1A, CACNA1E, ETV7, ISG15, NRN1, GALNT14, C15orf48, CASP5, PARP12, FGF13, C1QA, C1QB, C1QC, DHRS9, OASL, CDC45, TYMP, LINC00487, PML, UBE2L6, KCNMA1, SIGLEC1, VPS9D1, LY6E, LAP3, FBXO6, RSAD2, FAM20A, CAPNS2, PLSCR2, CARD16, SMCO4, TDRD7, RNU4ATAC, XAF1, GBP1, OAS1, FAM225A, LPCAT2, HESX1, TYMS, OR52B4, KPTN, TRIM22, FRMD3, SLC7A10, GLDN, LAMP3, FBXO39, HTR3A, GBP5, TNFSF10, TNFSF13B, MYBPHL, OAS3, ZDHHC19, PARP14, TRAFD1, DTX3L, GBP1P1, GK, TIFA, GPR84, VAMP5, NMI, PLSCR1, CEACAM1, MOV10, GADD45G, WDFY1, IRF7, LHFPL2, RNF213, SAT1, SMTNL1, SLC1A3, RMI2, USP18, INSC, PLEKHG4B, HERC5, SLC8A2, FAP, RUFY4, PRRG4",25.22,3.78,0,Inf
"BNT-I (D10, severe)","BNT (V3, D1)",0.042,206,311,4429,708,4635,"GBP1, IFITM3, BISPR, DOCK4, TNFSF10, CFB, IFITM1, GSDMC, RSAD2, KPTN, ANKRD22, HP, PML, ODF3B, ATF3, PARP14, HTR3A, GBP2, FAS, FRMD3, METTL7B, CTSL, IFI44L, CXCL11, MX1, OAS3, DDX60, APOBEC3B, SAMD9L, KCNJ2-AS1, IFIT1, LACTB, IFI27, MAFB, NCKAP5, ENPP1, IFIT2, CRISP3, C2, IFI6, WDFY1, UMODL1-AS1, IFI35, NRIR, SIGLEC1, GPR84, TRIM6, DISC1-IT1, DHX58, DDX60L, LHFPL2, ERLIN1, PRTN3, TIFA, VAMP5, LAMP3, OLFM4, RBFOX3, FCGR1A, PIK3AP1, OTOF, APOL1, USP18, TDRD7, FFAR3, OAS1, LCN2, BATF2, GBP5, RAB20, BMX, OASL, OLR1, IFI30, EIF2AK2, SERPING1, CCRL2, C1QB, TRIM22, CEACAM6, TAP1, LINC00683, LPCAT2, SLC51A, HELZ2, GBP6, MMP8, HTRA3, C1QA, RMI2, RSPH9, TNFSF13B, KLF5, IL27, MOV10, GK, TCN2, PARP9, XAF1, LINC00487, PLSCR1, IFIT3, DHRS9, RNF213, ANXA3, SAT1, LRP1B, HES4, OR52K2, FAP, MT2A, ISG15, CEACAM1, EGR3, IFIT5, CACNA1E, KCNJ2, UBE2L6, ZBP1, STX11, ETV7, TIMM10, LY6E, LAP3, IFI44, C5orf47, CD274, PSMB9, PLSCR2, ZDHHC19, IFI16, HERC5, SLC1A3, FAM20A, PFN4, PRRG4, MYBPHL, APOL2, TSNAX-DISC1, EDNRB, TRAFD1, MIR4441, RIPK2, EFCAB2, MIR5581, AGRN, LTF, SORT1, FBXO39, STAT2, TNFAIP6, HTRA1, OAS2, GADD45B, RTP4, LIM2, CASP5, FAM167B, HESX1, FLVCR2, CXCL10, LGALS3BP, OR52B4, GADD45G, NRN1, C1QC, FAM225A, CDC45, APOL6, MIR3161, PSTPIP2, C3AR1, EPSTI1, CD207, DTX3L, CAPNS2, TYMP, CDT1, CEACAM8, SMCO4, PDCD1LG2, KCNMA1, PTGS2, VPS9D1, STAT1, TTC26, LINC00968, SMTNL1, IFIH1, CMPK2, RUFY4, SPATS2L, COL17A1, PARP12, SFRP1, AIM2, SLC8A2, LINC01093, SNORD9, GBP1P1, LINC01556, FBXO6, KCNJ15, C15orf48, FGF13, IRF7",29.1,4.44,0,Inf
"BNT-I (D10, severe)",BNT-I (D1),0.083,439,662,4196,1101,4635,"ETV5, LOC101929595, MIR22HG, SMIM24, BMP2, LOC101928370, HMGB3, JDP2, NFKBIA, GPR171, CXCL2, CXCL3, LOC101927153, CCIN, EGR3, CIDECP, FLT3, SPATA2, PRG2, SDC4, SLED1, ITPRIP, PRR7, DDIT4, HORMAD2-AS1, IFITM10, PLXNA2, DOCK1, MMRN1, PAPLN, MAFG, EIF1, TARP, SPRY2, PTX3, YPEL5, ARL4A, DNAH14, SFN, IGFBP2, COL7A1, TAS1R1, DPYD-AS2, FOXO3, NAB2, PHC2, ADAMTS2, ABCC2, THCAT158, SLC35F3, FAM209A, JMJD6, CYB5D1, JAG1, MIR181A1HG, IL1R2, AVPR2, ING2, RCVRN, RAB13, C5orf66, DNM1, NOCT, PER1, ELF3, CCNL1, ATP6V0B, HTR7, TMEM119, CD3G, DDN, SRGAP1, TRIM32, AGFG1, B3GALT2, GK3P, DMRTC2, ITGA9, C10orf54, GPR15, TAS2R4, VSIG4, PDE3A, DCST2, KLHL33, LOC729603, FCAR, F12, FAM171A1, USP3-AS1, SNORD89, UCN2, EAF1, ZNF280B, PLBD1, MIR6883, RGL3, LYVE1, FASTKD5, GAPDH, MAB21L3, A3GALT2, OMG, S1PR1, KNOP1, PDE1B, TG, ANKEF1, EXOC3L2, GJB6, IRS2, LOC100268168, SNORD35B, SULT1A1, NECAP1, FABP6, PREPL, HSP90AB4P, PC, UBOX5-AS1, OR52K2, SMPDL3B, ITGB3, TMEM38A, REPS2, TGM4, YOD1, KEL, CCDC36, MIR8085, RPS16P5, INHBB, GNMT, NNT-AS1, LOC101927204, DPRXP4, GRIN2C, PMEPA1, ZFAND2A, P2RY1, PPP1R15A, FAM209B, DDIT3, MED14OS, TMEM177, OSGEPL1, HIF1A, MIR4434, TMC3, EFCAB12, GSTO2, ACOX2, FTH1, LOC145474, CLEC18A, CUX2, GABARAPL1, ADAMTS4, LAX1, LOC101928731, ZFP37, CNIH2, ZNF485, SEMA4G, ASF1A, SLPI, GSG1L, ZNF516, HBA2, C1R, NAV1, ZNF420, C2orf44, WDR86-AS1, IKZF3, RIMBP3, HYLS1, CATIP-AS1, KLF9, LOC101927901, SLC22A1, ZNF696, CBY1, APOM, LINC01226, BCL3, ACE2, THNSL1, YAE1D1, EREG, CDKN2D, LRRC37A6P, CD40LG, LINC00865, ZNF572, SEMA3B, DCANP1, ZFP3, SMIM3, ZNF470, ABHD5, EOMES, PTTG2, QSOX1, SERPINA9, PURA, ERG, LINC00861, CMTR2, BCAT1, LINC01260, SCARA5, SESN2, FAM71F2, MEGF9, MIR1255A, GCSAM, PLBD1-AS1, TSPEAR, MRPL50, SLC22A15, ADAM9, TMEM117, CCR6, CDC42EP4, ENPP5, C2orf15, ATP11A-AS1, MRM1, MIR616, PADI4, PELI1, ARFGEF3, THBS1, B3GNT5, N6AMT1, ZNF594, LOC101927817, PA2G4P4, TPST1, KLRC4, PLXNB3, TRG-AS1, TBC1D30, CAMP, PXMP4, LTF, KLHL15, CD63, LINC00996, GPR18, SAP30, KLRAP1, FBLN5, CA4, ASPH, MLK7-AS1, ZNF234, MIR146A, ZNF883, SGMS2, MMP8, FGD4, FCER2, TCL1A, TRIB1, UBE2T, SLC25A39, ZNF540, SMARCA1, LBH, UBALD2, LOC283575, CITED4, COL17A1, TPBG, ACVR1B, LGALSL, LRWD1, TP53I3, LOC101409256, SIT1, ZNF181, CHGA, MAOA, OLFM4, DAAM2, MMP9, MSX2P1, ARL8A, HHATL, KIF21A, ZNF260, TMEM88, LPAR2, HKDC1, SAMD14, MSL3P1, ARG1, IGIP, USP35, PHACTR1, ATP1B1, ZNF501, CD2, ZNF281, HBA1, NUP62CL, IL7R, FHDC1, GCM1, SMAD6, SLC30A1, IFRD1, PTPN4, CSRP2, TMEM204, LOXL1, LINC00671, ZCCHC12, LINC00293, FAM198A, KLRG1, SCRG1, FLJ42393, LAPTM4B, LOC101929718, MYLIP, PAQR8, LOC399815, CEACAM4, CPEB4, CCDC152, SLC6A13, KIAA0825, TIGIT, KLHL2, SLAMF6, CR2, LOC102723704, ZNF287, PKD2L2, FUT4, TEPP, P2RY10, FAM20A, CKAP4, PFKFB3, PGLYRP1, PLIN3, CAPNS2, TTC24, SFRP2, LINC00920, GIMAP7, PAPPA2, ALOX12B, AK4, BACE1-AS, MIR5690, HIF1A-AS2, NR1I3, LOC101927438, LINC01352, C20orf24, CDC42EP3, DUSP1, FOXI1, PDLIM7, CCR8, FOLR3, ARGFXP2, PPP1R27, ZNF737, AIRN, NFIL3, CCDC127, C1orf127, WDR64, INHBA, TOB1, SCN3A, KCTD19, AMHR2, LOC101929125, LINC01315, IDI2-AS1, SNORD12B, TSPAN13, CLEC5A, CDA, C4orf45, LOXHD1, HRH2, MACROD2, FAM71F1, LOC102724190, SEC1P, FLVCR2, MCAM, ELOVL4, RNASE1, ACSS3, GIMAP6, KCNE1, C6orf132, LINC01545, C1orf74, PLEKHF1, CLIC4, LPL, FHL2, LOC101927131, ZNF80, TNF, EPDR1, C5orf64, KCNG1, HOXB4, LOC729609, TRIB2, REM2, UPB1, LINC01578, TLR3, LINC01225, TRMT5, GLP2R, SAMD3, LOC101928977, CXCR5, MYL4, NR5A2, PPAP2B, CASP1P2, TULP2, KIAA1257, QPCT, KIAA1211",39.87,9.47,0,Inf
