"","Cond1","Cond2","jaccard_distance","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"296","CN54GP140 (D3)","FLUARIX FLUVIRIN (D3)",0.006,7,67,1048,74,1061,"AFF4, CORO1A, HBP1, OSTF1, PPP1CA, RAB7A, AMY1B",9.46,0.66,2.19200485016546e-100,99.6591584892398
"297","CN54GP140 (D3)","INFLUENZA (D3)",0,0,74,40,74,40,"",0,0,1.06109333759761e-31,30.9742464123091
"298","CN54GP140 (D3)","PANDEMRIX (D3)",0,0,74,5,74,5,"",0,0,4.43704640906506e-08,7.35290602877827
"299","CN54GP140 (D3)","PANDEMRIX (D30)",0,0,74,6,74,6,"",0,0,3.3277848067988e-09,8.47784476538657
"300","CN54GP140 (D3)","FLUARIX FLUVIRIN (D7)",0.002,2,72,846,74,860,"DPEP2, NUDT5",2.7,0.23,1.16121348431779e-105,104.935087929669
"301","CN54GP140 (D3)","INFLUENZA (D7)",0,0,74,72,74,72,"",0,0,1.7238898324803e-43,42.7634904918029
"302","CN54GP140 (D3)","PANDEMRIX (D7)",0,0,74,33,74,33,"",0,0,2.34186276430729e-28,27.6304385586447
"303","CN54GP140 (D3)","INACTIVATED INFLUENZA (D0)",0,0,74,5,74,5,"",0,0,4.43704640906506e-08,7.35290602877827
"304","CN54GP140 (D3)","FLUZONE (D1)",0,0,74,12,74,13,"",0,0,6.5401254009687e-15,14.1844139243934
"305","CN54GP140 (D3)","FLUZONE (D30)",0,0,74,16,74,16,"",0,0,4.6583730484868e-18,17.3317657355497
"306","CN54GP140 (D3)","FLUZONE (D7)",0,0,74,23,74,23,"",0,0,8.8900152243003e-23,22.0510974952926
"307","CN54GP140 (D3)","FLUMIST (D3)",0.006,8,66,1230,74,1245,"AFF4, ARAP3, ARPC1B, ATP6V1A, HBP1, KCTD2, NUDT5, NECAP2",10.81,0.64,1.07737696985867e-102,101.967632312223
"308","CN54GP140 (D3)","FLUMIST (D7)",0.003,8,66,2395,74,2445,"ZNG1F, HBP1, PARN, RAB7A, AMY1B, ING3, PCYOX1, TMEM70",10.81,0.33,2.445246723935e-121,120.611677314275
"309","CN54GP140 (D3)","FLUMIST (D1)",0,0,74,15,74,15,"",0,0,2.62033483977385e-17,16.5816432087663
"310","CN54GP140 (D3)","FLUENZ (D3-4)",0,0,74,6,74,6,"",0,0,3.3277848067988e-09,8.47784476538657
"311","CN54GP140 (D3)","FLUMIST (D30)",0,0,74,15,74,15,"",0,0,2.62033483977385e-17,16.5816432087663
"312","CN54GP140 (D3)","FLUENZ (D6-7)",0,0,74,9,74,9,"",0,0,3.0423474251597e-12,11.5167911925795
"313","CN54GP140 (D3)","MENACTRA (D3)",0,0,74,46,74,48,"",0,0,2.72098599374693e-34,33.5652736937418
"314","CN54GP140 (D3)","MENACTRA (D7)",0,0,74,14,74,14,"",0,0,1.55473200493248e-16,15.8083444611771
"315","CN54GP140 (D3)","WETVAX (D2-4)",0.006,1,73,100,74,101,"S100A4",1.35,0.99,4.85258985177489e-49,48.3140264143592
"316","CN54GP140 (D3)","WETVAX (D5-7)",0,0,74,474,74,520,"",0,0,1.23890848575719e-93,92.906960772396
"317","CN54GP140 (D3)","WETVAX (D50-60)",0.005,2,72,311,74,314,"CORO1A, HBP1",2.7,0.64,1.39888940546342e-76,75.8542166189575
"318","CN54GP140 (D3)","MVA85A (D2)",0,0,74,67,74,67,"",0,0,6.3558018862086e-42,41.1968296484482
"319","CN54GP140 (D3)","ZOSTAVAX (D1)",0,0,74,14,74,14,"",0,0,1.55473200493248e-16,15.8083444611771
"320","CN54GP140 (D3)","ZOSTAVAX (D3)",0,0,74,7,74,7,"",0,0,2.8758634132829e-10,9.54123174425096
"321","CN54GP140 (D3)","YF VAX (ANY)",0.01,1,73,28,74,29,"CORO1A",1.35,3.45,3.04203411830773e-24,23.5168359193725
"322","CN54GP140 (D3)","YF17D (D3)",0,0,74,46,74,94,"",0,0,2.72098599374693e-34,33.5652736937418
"323","CN54GP140 (D3)","YF VAX (D4-7)",0.001,1,73,600,74,601,"CORO1A",1.35,0.17,6.09465123624973e-98,97.2150511416462
"324","CN54GP140 (D3)","STAMARIL (D10)",0.005,2,72,301,74,303,"ARAP3, WLS",2.7,0.66,1.13983716629163e-75,74.9431571862355
"325","CN54GP140 (D3)","STAMARIL (D14)",0,0,74,70,74,70,"",0,0,7.13903516306884e-43,42.1463604789338
"326","CN54GP140 (D3)","STAMARIL (D28)",0,0,74,40,74,40,"",0,0,1.06109333759761e-31,30.9742464123091
"327","CN54GP140 (D3)","STAMARIL (D3)",0.005,2,72,321,74,323,"ARAP3, WLS",2.7,0.62,1.82225117800933e-77,76.739391760346
"328","CN54GP140 (D3)","STAMARIL (D60)",0,0,74,84,74,84,"",0,0,5.91555231117971e-47,46.2280047008248
"329","CN54GP140 (D3)","STAMARIL (D7)",0.004,2,72,481,74,483,"ARAP3, WLS",2.7,0.41,5.26524369094302e-89,88.2785815235891
"330","CN54GP140 (D7)","RVSV ZEBOV (D7)",0,0,10,49,10,49,"",0,0,1.5916380099863e-11,10.7981556979937
"331","CN54GP140 (D7)","LVS F TULARENSIS (H18)",0,0,78,49,78,49,"",0,0,2.2864693731535e-36,35.6408346115409
"332","CN54GP140 (D7)","LVS F TULARENSIS (H192)",0,0,78,49,78,49,"",0,0,2.2864693731535e-36,35.6408346115409
"333","CN54GP140 (D7)","LVS F TULARENSIS (H336)",0,0,78,49,78,49,"",0,0,2.2864693731535e-36,35.6408346115409
"334","CN54GP140 (D7)","LVS F TULARENSIS (H48)",0,0,78,49,78,49,"",0,0,2.2864693731535e-36,35.6408346115409
"335","CN54GP140 (D7)","CN54GP140 (D1)",0.122,24,148,25,174,49,"AMY1B, BMP8B, C9orf64, CAMK2A, GOLGA6L7, HBE1, IGFBP1, ING3, ITM2B, KCTD7, PCYOX1, RASSF6, RFX4, SIGLEC6, SOD2-OT1, STAR, TMEM191A, TMEM70, TMSB4X, TTC30A, ZNF160, ZNF320, ZNF93, IDH3B",13.79,48.98,2.09105459744198e-18,17.679634627604
"336","CN54GP140 (D7)","CN54GP140 (D3)",0.16,17,57,32,74,49,"AMY1B, BMP8B, RTL8B, FRMPD2B, HBE1, IGFBP1, ING3, PCYOX1, RFX4, SCX, STAR, TMEM191A, TMEM70, TMSB4X, TTC30A, ZNF320, ZNF93",22.97,34.69,4.93509918013826e-15,14.3067041149388
"337","CN54GP140 (D7)","CN54GP140 (H6)",0.035,5,44,95,49,100,"IDH3B, ING3, PCYOX1, RASSF6, TMSB4X",10.2,5,8.52336921315279e-32,31.0693886984914
"338","CN54GP140 (D7)","HIV-1 GAG-POL NEF (D1)",0.002,5,44,2021,49,2029,"CDK6, KCTD7, PCYOX1, RPS6KA3, TMEM156",10.2,0.25,1.00486604787061e-85,84.9978918273459
"339","CN54GP140 (D7)","HIV-1 GAG-POL NEF (D3)",0,0,49,142,49,142,"",0,0,8.86745743932576e-47,46.0522008873116
"340","CN54GP140 (D7)","HPV-VLP (M2)",0.005,3,46,607,49,612,"PRKCZ, CDK6, PCYOX1",6.12,0.49,1.34895564408267e-67,66.8700023304221
"341","CN54GP140 (D7)","INFLUENZA (D1)",0,0,49,26,49,26,"",0,0,9.8880845406188e-21,20.0048878291315
"342","CN54GP140 (D7)","PANDEMRIX (D1)",0,0,49,21,49,21,"",0,0,2.59444067253741e-18,17.5859562559323
"343","CN54GP140 (D7)","FLUARIX FLUVIRIN (D3)",0.004,4,45,1051,49,1061,"PRKCZ, UQCR10, AMY1B, HECA",8.16,0.38,8.65900204459837e-76,75.0625321578093
"344","CN54GP140 (D7)","INFLUENZA (D3)",0,0,49,40,49,40,"",0,0,3.00646848474213e-26,25.5219433442796
"345","CN54GP140 (D7)","PANDEMRIX (D3)",0,0,49,5,49,5,"",0,0,3.16204533740605e-07,6.50003190744489
"346","CN54GP140 (D7)","PANDEMRIX (D30)",0,0,49,6,49,6,"",0,0,3.44950400444296e-08,7.46224334655549
"347","CN54GP140 (D7)","FLUARIX FLUVIRIN (D7)",0.002,2,47,846,49,860,"HECA, TMEM156",4.08,0.23,1.91104220096622e-76,75.7187297224456
"348","CN54GP140 (D7)","INFLUENZA (D7)",0,0,49,72,49,72,"",0,0,4.60173421678472e-35,34.3370784685698
"349","CN54GP140 (D7)","PANDEMRIX (D7)",0,0,49,33,49,33,"",0,0,1.11112766623581e-23,22.9542360386682
"350","CN54GP140 (D7)","INACTIVATED INFLUENZA (D0)",0,0,49,5,49,5,"",0,0,3.16204533740605e-07,6.50003190744489
"351","CN54GP140 (D7)","FLUZONE (D1)",0,0,49,12,49,13,"",0,0,5.74033380650792e-13,12.2410628521823
"352","CN54GP140 (D7)","FLUZONE (D30)",0,0,49,16,49,16,"",0,0,1.54310048562042e-15,14.8116057920642
"353","CN54GP140 (D7)","FLUZONE (D7)",0,0,49,23,49,23,"",0,0,2.56804964848189e-19,18.5903965842429
"354","CN54GP140 (D7)","FLUMIST (D3)",0.001,1,48,1237,49,1245,"PDXDC1",2.04,0.08,8.43827050026869e-87,86.0737465568291
"355","CN54GP140 (D7)","FLUMIST (D7)",0.003,8,41,2395,49,2445,"UQCR10, AMY1B, HECA, ING3, PCYOX1, RPS6KA3, TAOK3, TMEM70",16.33,0.33,2.5879700345221e-81,80.5870407565648
"356","CN54GP140 (D7)","FLUMIST (D1)",0,0,49,15,49,15,"",0,0,6.26884572283293e-15,14.2028124180773
"357","CN54GP140 (D7)","FLUENZ (D3-4)",0,0,49,6,49,6,"",0,0,3.44950400444296e-08,7.46224334655549
"358","CN54GP140 (D7)","FLUMIST (D30)",0,0,49,15,49,15,"",0,0,6.26884572283293e-15,14.2028124180773
"359","CN54GP140 (D7)","FLUENZ (D6-7)",0,0,49,9,49,9,"",0,0,9.39066425891918e-11,10.0273036863516
"360","CN54GP140 (D7)","MENACTRA (D3)",0,0,49,46,49,48,"",0,0,3.24022481581898e-28,27.4894248561877
"361","CN54GP140 (D7)","MENACTRA (D7)",0,0,49,14,49,14,"",0,0,2.67470750840871e-14,13.5727237031491
"362","CN54GP140 (D7)","WETVAX (D2-4)",0,0,49,101,49,101,"",0,0,1.00354415480436e-40,39.9984635142916
"363","CN54GP140 (D7)","WETVAX (D5-7)",0.002,1,48,473,49,520,"ITM2B",2.04,0.19,2.01480178109242e-67,66.6957676738962
"364","CN54GP140 (D7)","WETVAX (D50-60)",0,0,49,313,49,314,"",0,0,7.68852684497825e-62,61.1141568649301
"365","CN54GP140 (D7)","MVA85A (D2)",0,0,49,67,49,67,"",0,0,6.53816820969283e-34,33.184543910369
"366","CN54GP140 (D7)","ZOSTAVAX (D1)",0,0,49,14,49,14,"",0,0,2.67470750840871e-14,13.5727237031491
"367","CN54GP140 (D7)","ZOSTAVAX (D3)",0,0,49,7,49,7,"",0,0,4.31188000555371e-09,8.36533333354743
"368","CN54GP140 (D7)","YF VAX (ANY)",0,0,49,29,49,29,"",0,0,4.74933762440472e-22,21.3233669558751
"369","CN54GP140 (D7)","YF17D (D3)",0,0,49,46,49,94,"",0,0,3.24022481581898e-28,27.4894248561877
"370","CN54GP140 (D7)","YF VAX (D4-7)",0,0,49,601,49,601,"",0,0,5.71999217136718e-75,74.2426045656011
"371","CN54GP140 (D7)","STAMARIL (D10)",0.003,1,48,302,49,303,"HECA",2.04,0.33,1.18206850529199e-58,57.9273573537355
"372","CN54GP140 (D7)","STAMARIL (D14)",0,0,49,70,49,70,"",0,0,1.3070653526548e-34,33.8837026973561
"373","CN54GP140 (D7)","STAMARIL (D28)",0,0,49,40,49,40,"",0,0,3.00646848474213e-26,25.5219433442796
"374","CN54GP140 (D7)","STAMARIL (D3)",0,0,49,323,49,323,"",0,0,1.8378925121154e-62,61.7356798916225
"375","CN54GP140 (D7)","STAMARIL (D60)",0,0,49,84,49,84,"",0,0,1.35549779784857e-37,36.8679011836408
"376","CN54GP140 (D7)","STAMARIL (D7)",0.002,1,48,482,49,483,"HECA",2.04,0.21,8.52995099991646e-68,67.0690534636188
"377","CN54GP140 (H6)","RVSV ZEBOV (D7)",0,0,10,100,10,100,"",0,0,2.13230361269134e-14,13.6711509572774
"378","CN54GP140 (H6)","LVS F TULARENSIS (H18)",0.017,3,75,97,78,100,"FCGR3A, CCR2, CD1C",3.85,3,1.56647365868579e-46,45.8050769036764
"379","CN54GP140 (H6)","LVS F TULARENSIS (H192)",0.017,3,75,97,78,100,"FCGR3A, CCR2, CD1C",3.85,3,1.56647365868579e-46,45.8050769036764
"380","CN54GP140 (H6)","LVS F TULARENSIS (H336)",0.017,3,75,97,78,100,"CCR2, CD1C, FCGR3A",3.85,3,1.56647365868579e-46,45.8050769036764
"381","CN54GP140 (H6)","LVS F TULARENSIS (H48)",0.017,3,75,97,78,100,"CCR2, CD1C, FCGR3A",3.85,3,1.56647365868579e-46,45.8050769036764
"382","CN54GP140 (H6)","CN54GP140 (D1)",0.034,9,163,91,174,100,"C4orf3, NALF2, FUT8-AS1, ING3, PCYOX1, RASSF6, TMSB4X, FRA10AC1, IDH3B",5.17,9,7.96945539460726e-61,60.0985713557931
"383","CN54GP140 (H6)","CN54GP140 (D3)",0.018,3,71,97,74,100,"ING3, PCYOX1, TMSB4X",4.05,3,4.14595667846824e-45,44.3823752402066
"384","CN54GP140 (H6)","CN54GP140 (D7)",0.035,5,44,95,49,100,"IDH3B, ING3, PCYOX1, RASSF6, TMSB4X",10.2,5,8.52336921315279e-32,31.0693886984914
"385","CN54GP140 (H6)","HIV-1 GAG-POL NEF (D1)",0.004,8,92,2018,100,2029,"PSENEN, ATG3, CCR2, CD1C, IPP, MYOF, PCYOX1, PTPRO",8,0.39,1.77936963943127e-152,151.749733823872
"386","CN54GP140 (H6)","HIV-1 GAG-POL NEF (D3)",0.008,2,98,140,100,142,"FCGR3A, MYOF",2,1.41,3.09187835626358e-66,65.5097776008607
"387","CN54GP140 (H6)","HPV-VLP (M2)",0.004,3,97,607,100,612,"TPRA1, IRF3, PCYOX1",3,0.49,6.2813689260007e-117,116.201945698266
"388","CN54GP140 (H6)","INFLUENZA (D1)",0,0,100,26,100,26,"",0,0,1.58663225381079e-27,26.7995237214165
"389","CN54GP140 (H6)","PANDEMRIX (D1)",0,0,100,21,100,21,"",0,0,5.89071957435614e-24,23.2298316512088
"390","CN54GP140 (H6)","FLUARIX FLUVIRIN (D3)",0.004,5,95,1050,100,1061,"HMCES, RELL1, CCR2, SPTY2D1, ZFYVE27",5,0.47,7.22614779520327e-134,133.141093160124
"391","CN54GP140 (H6)","INFLUENZA (D3)",0,0,100,40,100,40,"",0,0,5.65638203394561e-36,35.2474612658251
"392","CN54GP140 (H6)","PANDEMRIX (D3)",0,0,100,5,100,5,"",0,0,1.03561858937854e-08,7.98480016257083
"393","CN54GP140 (H6)","PANDEMRIX (D30)",0,0,100,6,100,6,"",0,0,5.86199201535019e-10,9.23195477745195
"394","CN54GP140 (H6)","FLUARIX FLUVIRIN (D7)",0.005,5,95,843,100,860,"GMPPB, IPP, RAB18, RPN2, SPTY2D1",5,0.58,2.75994883576186e-125,124.55909896886
"395","CN54GP140 (H6)","INFLUENZA (D7)",0,0,100,72,100,72,"",0,0,2.6772750048227e-50,49.5723070165819
"396","CN54GP140 (H6)","PANDEMRIX (D7)",0,0,100,33,100,33,"",0,0,5.4487805585275e-32,31.2637006823032
"397","CN54GP140 (H6)","INACTIVATED INFLUENZA (D0)",0,0,100,5,100,5,"",0,0,1.03561858937854e-08,7.98480016257083
"398","CN54GP140 (H6)","FLUZONE (D1)",0,0,100,12,100,13,"",0,0,2.26402893239429e-16,15.6451180275284
"399","CN54GP140 (H6)","FLUZONE (D30)",0,0,100,16,100,16,"",0,0,5.75473696355019e-20,19.2399745222322
"400","CN54GP140 (H6)","FLUZONE (D7)",0,0,100,23,100,23,"",0,0,1.98634153313622e-25,24.7019460764831
"401","CN54GP140 (H6)","FLUMIST (D3)",0.006,8,92,1230,100,1245,"HMCES, DDIT4, FKBP5, RELL1, UBXN6, MYOF, RAB18, ZFYVE27",8,0.64,2.34146474513469e-133,132.630512376899
"402","CN54GP140 (H6)","FLUMIST (D7)",0.009,23,77,2380,100,2445,"R3HDM4, DDX19A, FKBP5, GUK1, IRF3, MED1, PDRG1, SAP30, UBXN6, ATG3, CCR2, CD1C, CIAO1, CREB1, ING3, KIAA2026, KRR1, PCYOX1, RAB18, SLU7, SPTY2D1, TAF15, UFSP2",23,0.94,5.04055825286362e-126,125.297521361826
"403","CN54GP140 (H6)","FLUMIST (D1)",0,0,100,15,100,15,"",0,0,4.17218429857388e-19,18.3796365156612
"404","CN54GP140 (H6)","FLUENZ (D3-4)",0,0,100,6,100,6,"",0,0,5.86199201535019e-10,9.23195477745195
"405","CN54GP140 (H6)","FLUMIST (D30)",0,0,100,15,100,15,"",0,0,4.17218429857388e-19,18.3796365156612
"406","CN54GP140 (H6)","FLUENZ (D6-7)",0,0,100,9,100,9,"",0,0,2.34553397396046e-13,12.6297582721192
"407","CN54GP140 (H6)","MENACTRA (D3)",0,0,100,46,100,48,"",0,0,4.37055423854773e-39,38.359463485803
"408","CN54GP140 (H6)","MENACTRA (D7)",0,0,100,14,100,14,"",0,0,3.19867462890666e-18,17.4950299343632
"409","CN54GP140 (H6)","WETVAX (D2-4)",0.01,2,98,99,100,101,"HMCES, FCGR3A",2,1.98,1.13773263306703e-55,54.9439597850641
"410","CN54GP140 (H6)","WETVAX (D5-7)",0.007,4,96,470,100,520,"B4GALT3, FCGR3A, UBB, CD1C",4,0.77,5.15576956284375e-105,104.28770650168
"411","CN54GP140 (H6)","WETVAX (D50-60)",0.007,3,97,310,100,314,"HMCES, CCR2, CD1C",3,0.96,1.32990660179867e-91,90.8761788580914
"412","CN54GP140 (H6)","MVA85A (D2)",0,0,100,67,100,67,"",0,0,2.26368274183023e-48,47.6451844401725
"413","CN54GP140 (H6)","ZOSTAVAX (D1)",0,0,100,14,100,14,"",0,0,3.19867462890666e-18,17.4950299343632
"414","CN54GP140 (H6)","ZOSTAVAX (D3)",0,0,100,7,100,7,"",0,0,3.83494804742536e-11,10.4162405151229
"415","CN54GP140 (H6)","YF VAX (ANY)",0,0,100,29,100,29,"",0,0,1.65879482221224e-29,28.7802073289194
"416","CN54GP140 (H6)","YF17D (D3)",0.007,1,99,45,100,94,"MYOF",1,1.06,6.38100918827966e-37,36.1951106300185
"417","CN54GP140 (H6)","YF VAX (D4-7)",0.01,7,93,594,100,601,"B4GALT3, FCGR3A, GUK1, KCNJ10, MEGF8, PMEPA1, ATG3",7,1.16,6.69592658919717e-108,107.174189316377
"418","CN54GP140 (H6)","STAMARIL (D10)",0.002,1,99,302,100,303,"MYOF",1,0.33,7.62145978001926e-95,94.1179618378876
"419","CN54GP140 (H6)","STAMARIL (D14)",0,0,100,70,100,70,"",0,0,1.54037583023953e-49,48.8123733044326
"420","CN54GP140 (H6)","STAMARIL (D28)",0,0,100,40,100,40,"",0,0,5.65638203394561e-36,35.2474612658251
"421","CN54GP140 (H6)","STAMARIL (D3)",0.002,1,99,322,100,323,"MYOF",1,0.31,3.14549567119441e-97,96.5023109081511
"422","CN54GP140 (H6)","STAMARIL (D60)",0.022,4,96,80,100,84,"TPRA1, GUK1, UBXN6, MYOF",4,4.76,6.41512259672308e-47,46.1927950395897
"423","CN54GP140 (H6)","STAMARIL (D7)",0.002,1,99,482,100,483,"MYOF",1,0.21,1.21890334469359e-112,111.91403073124
"424","HIV-1 GAG-POL NEF (D1)","RVSV ZEBOV (D7)",0.004,8,2,2018,10,2029,"CCL2, CXCL10, HERC5, IFIT1, ISG15, LAMP3, RSAD2, USP18",80,0.39,2.18937830413678e-05,4.65967918991498
"425","HIV-1 GAG-POL NEF (D1)","LVS F TULARENSIS (H18)",0.015,32,46,1994,78,2029,"CCR4, CCR6, CCR7, ICAM1, LAMP3, NOD1, PYCARD, TAP2, CCR1, CCR2, CD1C, CD44, CD68, CD86, FAS, FCER1A, FCER1G, FCGR2A, HLA-DMA, HLA-DMB, HLA-DRB1, LILRB4, MYD88, NOD2, TAP1, TLR1, TLR10, TLR2, TLR4, TLR6, TLR7, TLR8",41.03,1.58,1.98817037266543e-73,72.7015464022636
"426","HIV-1 GAG-POL NEF (D1)","LVS F TULARENSIS (H192)",0.015,31,47,1995,78,2029,"CCR1, CCR6, CCR7, CD44, CD68, FAS, FCER1A, FCER1G, FCGR2A, ICAM1, LAMP3, PYCARD, TAP2, CCR2, CCR4, CD1C, CD86, HLA-DMA, HLA-DRB1, LILRB4, MYD88, NOD1, NOD2, TAP1, TLR1, TLR10, TLR2, TLR4, TLR6, TLR7, TLR8",39.74,1.53,3.0690521912829e-75,74.5129957260376
"427","HIV-1 GAG-POL NEF (D1)","LVS F TULARENSIS (H336)",0.015,32,46,1994,78,2029,"CCR6, CCR7, CD44, CD68, ICAM1, LAMP3, PYCARD, TAP2, CCR1, CCR2, CCR4, CD1C, CD86, FAS, FCER1A, FCER1G, FCGR2A, HLA-DMA, HLA-DMB, HLA-DRB1, LILRB4, MYD88, NOD1, NOD2, TAP1, TLR1, TLR10, TLR2, TLR4, TLR6, TLR7, TLR8",41.03,1.58,1.98817037266543e-73,72.7015464022636
"428","HIV-1 GAG-POL NEF (D1)","LVS F TULARENSIS (H48)",0.015,32,46,1994,78,2029,"CCR4, CCR6, CCR7, LAMP3, PYCARD, TAP2, CCR1, CCR2, CD1C, CD44, CD68, CD86, FAS, FCER1A, FCER1G, FCGR2A, HLA-DMA, HLA-DMB, HLA-DRB1, ICAM1, LILRB4, MYD88, NOD1, NOD2, TAP1, TLR1, TLR10, TLR2, TLR4, TLR6, TLR7, TLR8",41.03,1.58,1.98817037266543e-73,72.7015464022636
"429","HIV-1 GAG-POL NEF (D1)","CN54GP140 (D1)",0.004,10,162,2016,174,2029,"KCTD7, PCYOX1, RPS18, ATP6V1B2, DPEP2, GBA1, , NDRG3, SORL1, WAS",5.75,0.49,2.17031835757744e-234,233.663476556106
"430","HIV-1 GAG-POL NEF (D1)","CN54GP140 (D3)",0.002,4,70,2022,74,2029,"CHMP2A, DPEP2, WAS, PCYOX1",5.41,0.2,1.40593681739971e-126,125.85203419601
"431","HIV-1 GAG-POL NEF (D1)","CN54GP140 (D7)",0.002,5,44,2021,49,2029,"CDK6, KCTD7, PCYOX1, RPS6KA3, TMEM156",10.2,0.25,1.00486604787061e-85,84.9978918273459
"432","HIV-1 GAG-POL NEF (D1)","CN54GP140 (H6)",0.004,8,92,2018,100,2029,"PSENEN, ATG3, CCR2, CD1C, IPP, MYOF, PCYOX1, PTPRO",8,0.39,1.77936963943127e-152,151.749733823872
"433","HIV-1 GAG-POL NEF (D1)","HIV-1 GAG-POL NEF (D3)",0.065,133,1893,9,2029,142,"BLK, CNR2, CXCR5, EIF4B, NIBAN3, OSBPL10, RFLNB, SCARNA6, TRBV6-4, ABI3, ACP2, AIM2, ALPK1, ANKFY1, C1QB, C3AR1, CALML4, CARD6, CASP10, CASP5, CCR1, CD300E, CLEC7A, CMKLR1, CMPK2, CMTR1, CSF1R, CTSL, CXCL10, RIGI, DDX60, DHX58, DUSP6, EIF2AK2, EPSTI1, FFAR2, FGD2, FGD6, FLVCR2, FPR2, FPR3, GBP1, GCH1, GIMAP8, GPBAR1, GRN, H1-0, HAVCR2, HERC5, HERC6, HSH2D, HSPA6, IFI16, IFI27, IFI44, IFI44L, IFI6, IFIH1, IFIT1, IFIT2, IFIT3, IFITM1, IFITM3, IGSF6, IL1RN, IRF9, JUP, KCNJ2, KMO, LAP3, LGALS3BP, LGALS9, LGALS9B, LRRC25, LST1, LY6E, MAFB, MARCKS, MBOAT1, MERTK, MOV10, MS4A4A, MX1, MX2, MYOF, NLRC4, NMI, OAS1, OAS2, OAS3, OASL, P2RX7, PARP12, PARP9, PLSCR1, PML, RSAD2, SAMD9, SAMD9L, SCARB2, SECTM1, SERPING1, SHISA5, SIDT2, SIGLEC1, SIGLEC7, SLC20A1, SP110, SQLE, STAT1, SUOX, TAP1, TASL, TCF7L2, TDRD7, TFEC, TLR1, TLR2, TLR6, TNFSF10, TNFSF13B, TOR1B, TRIM21, TRIM22, TRIM38, TRIM5, UBE2L6, USP18, WARS1, WSB1, XAF1, ZBP1, ZNFX1",6.55,93.66,3.0820612814012e-11,10.5111587303451
"434","HIV-1 GAG-POL NEF (D1)","HPV-VLP (M2)",0.051,129,1897,481,2029,612,"ABLIM1, CCND2, CDC25B, CDK6, CYP27A1, DHRS3, DPEP2, DPP4, FCMR, GABPB2, GNLY, GZMA, HLA-DQA1, HSF2, ITGA6, LCK, LEF1, LIMA1, MAL, NDRG2, NOP53, PABPC4, PCYOX1, PDGFC, POLA1, , RPL13, SLC7A8, SORL1, VNN1, VPS51, ZNF395, ACSL1, ADAR, AIM2, ALAS1, ALOX5, APOL1, ATF5, ATOX1, BATF3, C1QB, C2, CASP1, CASP5, CD14, CD38, CD40, CDKN1A, CES1, CFB, CFD, CSF2RB, CSF3R, CTSD, CXCL11, CYBA, DDB2, RIGI, DHRS9, DSE, DUSP6, EMP3, FPR2, GAA, GADD45B, GCH1, GCNT1, GOLM1, GPD2, GRN, HCAR3, HMOX1, HPSE, ICAM1, IDO1, IFITM1, IFITM2, IL15, IL1RN, IRF2, ISG20, KCNJ15, KCNJ2, KMO, LAMP3, LDLR, LMNB1, MCOLN1, MERTK, MICB, MMP8, MNDA, MS4A4A, MT2A, MTHFD2, NAMPT, NOD2, NPL, PARP11, PLAAT4, PLEK, PLXNC1, PSMB9, PYCARD, RAPGEF2, RNASEL, RNASET2, RXRA, SDHB, SERPING1, SLC11A1, SLC1A5, SLC2A6, SNCA, SOCS1, ST3GAL5, TAP2, TIMP2, TLR1, TLR2, TNFRSF14, TNFSF10, TNS1, VAMP5, VDR, VRK2, WARS1, ZNF267",6.36,21.08,0,0
"435","HIV-1 GAG-POL NEF (D1)","INFLUENZA (D1)",0.001,2,2024,24,2029,26,"TRAV16, CLEC6A",0.1,7.69,7.6066239552686e-54,53.1188080532058
"436","HIV-1 GAG-POL NEF (D1)","PANDEMRIX (D1)",0.009,19,2007,2,2029,21,"CD40, CD86, HLA-DRA, HLA-DRB1, HLA-DRB5, IRF1, IRF2, IRF7, IRF9, MYD88, NOD2, STAT1, TAP1, TLR1, TLR2, TLR4, TLR6, TLR7, TLR8",0.94,90.48,0.000102170987526382,3.99067240895641
